date,produit,quantite,prix,region
2024-02-01,Laptop,6,1200.00,Europe
2024-02-01,Souris,22,25.00,Asie
2024-02-02,Clavier,19,80.00,Amérique
2024-02-02,Écran,9,350.00,Europe
2024-02-03,Webcam,14,45.00,Asie
2024-02-03,Casque,27,65.00,Europe
2024-02-04,Laptop,5,1200.00,Amérique
2024-02-04,Souris,32,25.00,Europe
2024-02-05,Clavier,21,80.00,Asie
2024-02-05,Écran,11,350.00,Europe
2024-02-06,Webcam,16,45.00,Amérique
2024-02-06,Casque,23,65.00,Asie
2024-02-07,Laptop,8,1200.00,Europe
2024-02-07,Souris,26,25.00,Amérique
2024-02-08,Clavier,17,80.00,Europe
2024-02-08,Écran,13,350.00,Asie
2024-02-09,Webcam,19,45.00,Europe
2024-02-09,Casque,24,65.00,Amérique
2024-02-10,Laptop,7,1200.00,Asie
2024-02-10,Souris,29,25.00,Europe
