transaction_id,date,user_id,montant,statut,categorie
TXN000001,2024-02-24,USER0430,1701.55,failed,transport
TXN000002,2024-03-27,USER0904,835.87,completed,loisirs
TXN000003,2024-03-02,USER0548,504.51,completed,alimentation
TXN000004,2024-03-24,USER0209,1660.2,pending,loisirs
TXN000005,2024-02-20,USER0059,206.9,completed,vetements
TXN000006,2024-02-10,USER0392,1342.42,pending,vetements
TXN000007,2024-02-01,USER0517,1530.91,failed,transport
TXN000008,2024-02-10,USER0814,1666.89,failed,electronique
TXN000009,2024-01-13,USER0676,624.03,completed,electronique
TXN000010,2024-01-27,USER0300,236.39,completed,vetements
TXN000011,2024-01-03,USER0988,860.89,pending,transport
TXN000012,2024-03-08,USER0953,1351.4,pending,alimentation
TXN000013,2024-01-29,USER0372,1340.64,completed,transport
TXN000014,2024-01-21,USER0522,1261.5,completed,transport
TXN000015,2024-01-10,USER0931,731.11,completed,electronique
TXN000016,2024-01-12,USER0429,577.28,completed,vetements
TXN000017,2024-02-11,USER0696,1355.2,failed,vetements
TXN000018,2024-01-07,USER0666,104.45,completed,vetements
TXN000019,2024-01-31,USER0137,1794.39,completed,electronique
TXN000020,2024-03-23,USER0213,428.63,completed,transport
TXN000021,2024-01-30,USER0739,811.22,completed,alimentation
TXN000022,2024-02-15,USER0851,783.29,completed,alimentation
TXN000023,2024-01-11,USER0233,404.33,completed,vetements
TXN000024,2024-03-06,USER0529,902.92,completed,alimentation
TXN000025,2024-01-25,USER0363,988.43,completed,electronique
TXN000026,2024-03-15,USER0289,787.84,cancelled,alimentation
TXN000027,2024-03-31,USER0108,798.61,completed,alimentation
TXN000028,2024-02-17,USER0508,1413.32,completed,vetements
TXN000029,2024-02-28,USER0917,1841.06,cancelled,vetements
TXN000030,2024-01-19,USER0004,538.35,completed,transport
TXN000031,2024-03-31,USER0675,1691.75,completed,transport
TXN000032,2024-02-24,USER0791,1049.23,completed,loisirs
TXN000033,2024-01-26,USER0703,1933.92,completed,transport
