transaction_id,date,user_id,montant,statut,categorie
TXN000001,2024-01-09,USER0294,1254.41,failed,alimentation
TXN000002,2024-01-27,USER0082,341.39,completed,alimentation
TXN000003,2024-01-20,USER0768,1370.26,completed,alimentation
TXN000004,2024-03-29,USER0549,1043.39,completed,alimentation
TXN000005,2024-03-28,USER0537,759.46,completed,electronique
TXN000006,2024-01-27,USER0108,1640.29,completed,transport
TXN000007,2024-01-17,USER0305,731.85,pending,electronique
TXN000008,2024-01-13,USER0557,1403.5,completed,transport
TXN000009,2024-01-30,USER0144,1542.91,failed,electronique
TXN000010,2024-02-13,USER0163,841.06,failed,transport
TXN000011,2024-02-16,USER0167,1911.72,completed,vetements
TXN000012,2024-03-17,USER0525,747.84,completed,electronique
TXN000013,2024-01-04,USER0834,1322.13,failed,loisirs
TXN000014,2024-01-08,USER0008,1036.88,pending,alimentation
TXN000015,2024-03-06,USER0204,723.82,completed,alimentation
TXN000016,2024-03-11,USER0397,1562.77,completed,loisirs
TXN000017,2024-01-06,USER0887,807.53,cancelled,transport
TXN000018,2024-01-28,USER0886,1555.32,completed,electronique
TXN000019,2024-03-14,USER0320,1152.24,completed,loisirs
TXN000020,2024-03-03,USER0416,1992.71,completed,transport
TXN000021,2024-03-09,USER0870,1357.71,completed,alimentation
TXN000022,2024-02-27,USER0623,1796.1,cancelled,vetements
TXN000023,2024-02-25,USER0212,1211.21,completed,loisirs
TXN000024,2024-03-27,USER0254,1509.87,completed,electronique
TXN000025,2024-01-25,USER0052,836.44,completed,alimentation
TXN000026,2024-03-13,USER0863,1329.74,completed,alimentation
TXN000027,2024-03-24,USER0889,1199.52,completed,alimentation
TXN000028,2024-02-21,USER0754,101.45,completed,electronique
TXN000029,2024-01-29,USER0109,172.73,completed,transport
TXN000030,2024-01-14,USER0365,491.42,failed,electronique
TXN000031,2024-03-07,USER0753,1262.38,pending,alimentation
TXN000032,2024-03-01,USER0217,1649.47,completed,transport
TXN000033,2024-02-12,USER0080,1076.12,completed,electronique
TXN000034,2024-02-10,USER0968,1850.96,completed,transport
TXN000035,2024-01-19,USER0229,367.64,completed,loisirs
TXN000036,2024-01-24,USER0934,959.9,completed,electronique
TXN000037,2024-03-19,USER0266,37.41,completed,loisirs
TXN000038,2024-01-07,USER0468,336.34,completed,loisirs
TXN000039,2024-01-08,USER0102,1888.47,completed,vetements
TXN000040,2024-01-29,USER0257,1970.91,completed,alimentation
TXN000041,2024-01-23,USER0540,208.92,completed,alimentation
TXN000042,2024-03-28,USER0636,795.33,pending,loisirs
TXN000043,2024-02-10,USER0977,810.04,pending,alimentation
TXN000044,2024-03-16,USER0994,1961.67,completed,transport
TXN000045,2024-03-11,USER0591,520.71,completed,alimentation
TXN000046,2024-01-28,USER0506,841.36,completed,loisirs
TXN000047,2024-01-09,USER0131,1946.12,completed,transport
TXN000048,2024-03-04,USER0217,1150.12,completed,transport
TXN000049,2024-03-23,USER0919,404.31,completed,transport
TXN000050,2024-01-21,USER0115,1406.35,completed,alimentation
TXN000051,2024-01-26,USER0975,1898.55,cancelled,electronique
TXN000052,2024-02-10,USER0005,533.81,completed,electronique
TXN000053,2024-02-03,USER0816,523.29,completed,loisirs
TXN000054,2024-03-25,USER0431,1614.83,completed,transport
TXN000055,2024-01-15,USER0801,1822.81,completed,loisirs
TXN000056,2024-02-17,USER0429,381.83,completed,electronique
TXN000057,2024-02-03,USER0684,1680.06,completed,alimentation
TXN000058,2024-03-05,USER0395,457.41,completed,alimentation
TXN000059,2024-01-29,USER0454,1828.99,completed,transport
TXN000060,2024-02-12,USER0765,434.71,failed,alimentation
TXN000061,2024-01-10,USER0274,804.02,completed,vetements
TXN000062,2024-02-06,USER0823,1061.71,cancelled,alimentation
TXN000063,2024-01-23,USER0845,599.81,completed,vetements
TXN000064,2024-02-23,USER0488,273.08,completed,loisirs
TXN000065,2024-01-31,USER0736,1890.74,completed,transport
TXN000066,2024-03-28,USER0958,711.85,completed,transport
TXN000067,2024-03-21,USER0652,443.38,completed,electronique
TXN000068,2024-01-25,USER0598,1875.65,completed,transport
TXN000069,2024-02-16,USER0212,1115.95,completed,transport
TXN000070,2024-02-01,USER0201,567.66,completed,alimentation
TXN000071,2024-01-10,USER0191,1729.05,completed,vetements
TXN000072,2024-01-06,USER0888,148.47,completed,alimentation
TXN000073,2024-01-25,USER0276,1786.3,completed,alimentation
TXN000074,2024-01-19,USER0596,1546.21,completed,vetements
TXN000075,2024-03-06,USER0332,1476.58,completed,loisirs
TXN000076,2024-03-08,USER0864,1237.85,completed,loisirs
TXN000077,2024-03-16,USER0764,1472.95,completed,vetements
TXN000078,2024-02-05,USER0231,304.82,completed,loisirs
TXN000079,2024-03-24,USER0721,1337.14,completed,loisirs
TXN000080,2024-02-12,USER0311,848.51,completed,electronique
TXN000081,2024-03-28,USER0070,1733.17,completed,electronique
TXN000082,2024-02-06,USER0114,1265.52,completed,alimentation
TXN000083,2024-02-27,USER0386,142.15,completed,loisirs
TXN000084,2024-03-13,USER0894,440.5,completed,alimentation
TXN000085,2024-02-27,USER0739,151.22,completed,alimentation
TXN000086,2024-01-09,USER0252,311.92,completed,electronique
TXN000087,2024-01-07,USER0821,1770.89,completed,transport
